External Ref,Player Name,Role,Base Price,Pool,Country,IPL Team,Playing Style,Matches,Runs,Batting Average,Highest Score,Strike Rate,Wickets,Economy,Best Bowling Wickets,Best Bowling Runs
ms-dhoni,MS DHONI,WICKET KEEPER,20000000,POT 01 · MARQUEE 1,INDIA,CHENNAI SUPER KINGS,WICKET KEEPER BATTER,278,5439,38.30,84,,,,,
mohammad-shami,MOHAMMAD SHAMI,BOWLER,20000000,POT 01 · MARQUEE 1,INDIA,LUCKNOW SUPER GIANTS,RIGHT ARM FAST BOWLER,132,,,,,145,8.69,4,11
shubhman-gill,SHUBHMAN GILL,BATTER,20000000,POT 01 · MARQUEE 1,INDIA,GUJARAT TITANS,RIGHT HAND BATSMAN,134,4598,40.33,129,,,,,
rishabh-pant,RISHABH PANT,WICKET KEEPER,20000000,POT 01 · MARQUEE 1,INDIA,LUCKNOW SUPER GIANTS,WICKET KEEPER BATTER,139,3865,33.61,128,,,,,
rohit-sharma,ROHIT SHARMA,BATTER,20000000,POT 01 · MARQUEE 1,INDIA,MUMBAI INDIANS,RIGHT HAND BATSMAN,281,7329,29.98,109,,,,,
kl-rahul,KL RAHUL,WICKET KEEPER,20000000,POT 01 · MARQUEE 1,INDIA,DELHI CAPITALS,WICKET KEEPER BATTER,159,5815,46.15,152,,,,,
david-warner,DAVID WARNER,BATTER,20000000,POT 01 · MARQUEE 1,AUSTRALIA,DELHI CAPITALS,LEFT HAND BATSMAN,184,6565,40.52,126,,,,,
hardik-pandya,HARDIK PANDYA,ALL ROUNDER,20000000,POT 01 · MARQUEE 1,INDIA,MUMBAI INDIANS,ALL ROUNDER,162,2955,27.88,91,,,,,
mitchell-starc,MITCHELL STARC,BOWLER,20000000,POT 01 · MARQUEE 1,AUSTRALIA,DELHI CAPITALS,LEFT ARM FAST BOWLER,58,,,,,76,8.82,5,35
surya-kumar-yadav,SURYA KUMAR YADAV,BATTER,20000000,POT 01 · MARQUEE 1,INDIA,MUMBAI INDIANS,RIGHT HAND BATSMAN,179,4581,33.44,103,,,,,
virat-kohli,VIRAT KOHLI,BATTER,20000000,POT 01 · MARQUEE 1,INDIA,ROYAL CHALLENGERS BENGALURU,RIGHT HAND BATSMAN,283,9336,40.42,113,,,,,
jasprit-bumrah,JASPRIT BUMRAH,BOWLER,20000000,POT 01 · MARQUEE 1,INDIA,MUMBAI INDIANS,RIGHT ARM FAST BOWLER,158,,,,,187,7.34,5,10
shreyas-iyer,SHREYAS IYER,BATTER,20000000,POT 01 · MARQUEE 1,INDIA,PUNJAB KINGS,RIGHT HAND BATSMAN,147,4229,35.84,101,,,,,
ravindra-jadeja,RAVINDRA JADEJA,ALL ROUNDER,20000000,POT 01 · MARQUEE 1,INDIA,RAJASTHAN ROYALS,ALL ROUNDER,268,3525,29.38,,,160,7.71,5,16
pat-cummins,PAT CUMMINS,BOWLER,20000000,POT 01 · MARQUEE 1,AUSTRALIA,SUNRISERS HYDERABAD,RIGHT ARM FAST BOWLER,80,642,19.45,,,87,8.89,4,34
ishan-kishan,ISHAN KISHAN,WICKET KEEPER,20000000,POT 02 · MARQUEE 2,INDIA,SUNRISERS HYDERABAD,WICKET KEEPER BATTER,134,3600,30.51,106,,,,,
kagiso-rabada,KAGISO RABADA,BOWLER,20000000,POT 02 · MARQUEE 2,SOUTH AFRICA,GUJARAT TITANS,RIGHT ARM FAST BOWLER,101,,,,,148,8.81,4,21
sanju-samson,SANJU SAMSON,BATTER,20000000,POT 02 · MARQUEE 2,INDIA,CHENNAI SUPER KINGS,RIGHT HAND BATSMAN,191,5181,31.79,119,,,,,
sunil-narine,SUNIL NARINE,BOWLER,20000000,POT 02 · MARQUEE 2,WEST INDIES,KOLKATA KNIGHT RIDERS,RIGHT ARM MYSTERY BOWLER,202,1820,17.33,,,207,6.80,5,19
mohammad-siraj,MOHAMMED SIRAJ,BOWLER,20000000,POT 02 · MARQUEE 2,INDIA,GUJARAT TITANS,RIGHT ARM FAST BOWLER,125,,,,,128,8.78,4,21
bhuvneshwar-kumar,BHUVNESHWAR KUMAR,BOWLER,20000000,POT 02 · MARQUEE 2,INDIA,ROYAL CHALLENGERS BENGALURU,RIGHT ARM FAST BOWLER,202,,,,,223,7.74,5,19
axar-patel,AXAR PATEL,BOWLER,20000000,POT 02 · MARQUEE 2,INDIA,DELHI CAPITALS,LEFT ARM SPINNER,176,2089,21.76,,,139,7.41,4,21
glenn-maxwell,GLENN MAXWELL,ALL ROUNDER,20000000,POT 02 · MARQUEE 2,AUSTRALIA,PUNJAB KINGS,ALL ROUNDER,141,3990,33.81,,,41,8.30,2,15
quinton-de-cock,QUITON DE KOCK,WICKET KEEPER,20000000,POT 02 · MARQUEE 2,SOUTH AFRICA,MUMBAI INDIANS,WICKET KEEPER BATTER,118,3441,31.57,140,,,,,
jos-buttler,JOS BUTTLER,WICKET KEEPER,20000000,POT 02 · MARQUEE 2,ENGLAND,RAJASTHAN ROYALS,WICKET KEEPER BATTER,138,4646,39.71,124,,,,,
rashid-khan,RASHID KHAN,BOWLER,20000000,POT 02 · MARQUEE 2,AFGHANISTAN,GUJARAT TITANS,RIGHT ARM LEG SPINNER,153,635,13.80,,,179,7.29,4,24
abhishek-sharma,ABHISHEK SHARMA,BATTER,20000000,POT 03 · CAPPED BATSAMAN 1,INDIA,SUNRISERS HYDERABAD,LEFT HAND BATSMAN,92,1377,25.50,,,11,8.64,2,24
yashasvi-jaiswal,YASHASVI JAISWAL,BATTER,20000000,POT 03 · CAPPED BATSAMAN 1,INDIA,RAJASTHAN ROYALS,LEFT HAND BATSMAN,83,2593,33.68,124,,,,,
devon-conway,DEVON CONVAY,BATTER,10000000,POT 03 · CAPPED BATSAMAN 1,NEW ZEALAND,CHENNAI SUPER KINGS,LEFT HAND BATSMAN,29,1080,43.20,92,,,,,
david-miller,DAVID MILLER,BATTER,20000000,POT 03 · CAPPED BATSAMAN 1,SOUTH AFRICA,DELHI CAPITALS,LEFT HAND BATSMAN,152,3288,35.74,101,,,,,
rinku-singh,RINKU SINGH,BATTER,20000000,POT 03 · CAPPED BATSAMAN 1,INDIA,KOLKATA KNIGHT RIDERS,LEFT HAND BATSMAN,73,1394,34.00,83,,,,,
travis-head,TRAVIS HEAD RAVIS,BATTER,20000000,POT 03 · CAPPED BATSAMAN 1,AUSTRALIA,SUNRISERS HYDERABAD,LEFT HAND BATSMAN,53,1556,32.42,102,,,,,
tilak-verma,TILAK VERMA,BATTER,20000000,POT 03 · CAPPED BATSAMAN 1,INDIA,MUMBAI INDIANS,LEFT HAND BATSMAN,68,1858,35.73,101,,,,,
faf-du-plessis,FAF DU PLESSIS,BATTER,20000000,POT 03 · CAPPED BATSAMAN 1,SOUTH AFRICA,ROYAL CHALLENGERS BENGALURU,RIGHT HAND BATSMAN,155,4773,35.10,96,,,,,
ruturaj-gaikwad,RUTURAJ GAIKWAD,BATTER,20000000,POT 03 · CAPPED BATSAMAN 1,INDIA,CHENNAI SUPER KINGS,RIGHT HAND BATSMAN,85,2839,38.36,108,,,,,
vaibhav-sooryavanshi,VAIBHAV SOORYAVANSHI,BATTER,20000000,POT 03 · CAPPED BATSAMAN 1,INDIA,RAJASTHAN ROYALS,LEFT HAND BATSMAN,23,1028,44.70,103,,,,,
liam-livingstone,LIAM LIVINGSTONE,ALL ROUNDER,15000000,POT 04 · CAPPED ALLROUNDERS 1,ENGLAND,SUNRISERS HYDERABAD,ALL ROUNDER,51,1066,25.38,,,13,9.02,3,27
tim-david,TIM DAVID,ALL ROUNDER,20000000,POT 04 · CAPPED ALLROUNDERS 1,AUSTRALIA,ROYAL CHALLENGERS BENGALURU,ALL ROUNDER,66,1151,32.89,70,,,,,
adam-markram,AIDEN MARKRAM,ALL ROUNDER,20000000,POT 04 · CAPPED ALLROUNDERS 1,SOUTH AFRICA,LUCKNOW SUPER GIANTS,ALL ROUNDER,69,1671,30.38,,,6,9.40,2,30
sam-curran,SAM CURRAN,ALL ROUNDER,20000000,POT 04 · CAPPED ALLROUNDERS 1,ENGLAND,RAJASTHAN ROYALS,ALL ROUNDER,64,997,24.92,,,59,9.74,4,11
rachin-ravindra,RACHIN RAVINDRA,ALL ROUNDER,15000000,POT 04 · CAPPED ALLROUNDERS 1,NEW ZEALAND,KOLKATA KNIGHT RIDERS,ALL ROUNDER,18,413,24.29,,,,3.50,0,3
cameron-green,CAMERON GREEN,ALL ROUNDER,20000000,POT 04 · CAPPED ALLROUNDERS 1,AUSTRALIA,KOLKATA KNIGHT RIDERS,ALL ROUNDER,43,1029,38.11,,,23,9.44,2,12
andre-russell,ANDRE RUSSELL,ALL ROUNDER,20000000,POT 04 · CAPPED ALLROUNDERS 1,WEST INDIES,KOLKATA KNIGHT RIDERS,ALL ROUNDER,140,2651,28.20,,,123,9.51,5,15
gerald-coetezze,GERALD COETZEE,BOWLER,10000000,POT 05 · CAPPED BOWLERS,SOUTH AFRICA,SUNRISERS HYDERABAD,RIGHT ARM FAST BOWLER,14,31,5.17,,,15,10.37,4,4
yuzvendra-chahal,YUZVENDRA CHAHAL,BOWLER,20000000,POT 05 · CAPPED BOWLERS,INDIA,PUNJAB KINGS,RIGHT ARM LEG SPINNER,188,,,,,233,8.05,5,40
kuldeep-yadav,KULDEEP YADAV,BOWLER,20000000,POT 05 · CAPPED BOWLERS,INDIA,DELHI CAPITALS,LEFT ARM CHINAMAN,110,,,,,112,8.26,4,14
ravi-bishnoi,RAVI BISHNOI,BOWLER,15000000,POT 05 · CAPPED BOWLERS,INDIA,LUCKNOW SUPER GIANTS,RIGHT ARM LEG SPINNER,86,,,,,83,8.36,4,41
matheesha-pathirana,MATHEESHA PATHIRANA,BOWLER,10000000,POT 05 · CAPPED BOWLERS,SRI LANKA,KOLKATA KNIGHT RIDERS,RIGHT ARM FAST BOWLER,33,,,,,47,8.63,4,28
anrich-nortje,ANRICH NORTJE,BOWLER,10000000,POT 05 · CAPPED BOWLERS,SOUTH AFRICA,LUCKNOW SUPER GIANTS,RIGHT ARM FAST BOWLER,49,,,,,61,9.09,3,33
mark-wood,MARK WOOD,BOWLER,20000000,POT 05 · CAPPED BOWLERS,ENGLAND,LUCKNOW SUPER GIANTS,RIGHT ARM FAST BOWLER,5,,,,,11,8.95,5,14
maheesh-theekshana,MAHEESH THEEKSHANA,BOWLER,15000000,POT 05 · CAPPED BOWLERS,SRI LANKA,RAJASTHAN ROYALS,RIGHT ARM MYSTERY SPINNER,38,,,,,36,8.27,4,33
josh-hazlewood,JOSH HAZELWOOD,BOWLER,20000000,POT 05 · CAPPED BOWLERS,AUSTRALIA,ROYAL CHALLENGERS BENGALURU,RIGHT ARM FAST BOWLER,52,,,,,72,8.62,4,12
trent-boult,TRENT BOULT,BOWLER,20000000,POT 05 · CAPPED BOWLERS,NEW ZEALAND,MUMBAI INDIANS,LEFT ARM FAST BOWLER,125,,,,,145,8.49,4,18
varun-chakravarthy,VARUN CHAKRAVARTHY,BOWLER,15000000,POT 05 · CAPPED BOWLERS,INDIA,KOLKATA KNIGHT RIDERS,RIGHT ARM MYSTERY SPINNER,95,,,,,111,7.72,5,20
arshdeep-singh,ARSHDEEP SINGH,BOWLER,20000000,POT 05 · CAPPED BOWLERS,INDIA,PUNJAB KINGS,LEFT ARM FAST BOWLER,96,,,,,111,9.19,5,32
navdeep-saini,NAVDEEP SAINI,BOWLER,10000000,POT 05 · CAPPED BOWLERS,INDIA,KOLKATA KNIGHT RIDERS,RIGHT ARM FAST BOWLER,34,,,,,23,8.97,3,40
ishant-sharma,ISHANT SHARMA,BOWLER,10000000,POT 05 · CAPPED BOWLERS,INDIA,GUJARAT TITANS,RIGHT ARM FAST BOWLER,117,,,,,97,8.36,5,12
akash-deep,AKASH DEEP,BOWLER,10000000,POT 05 · CAPPED BOWLERS,INDIA,KOLKATA KNIGHT RIDERS,RIGHT ARM FAST BOWLER,14,,,,,10,11.83,3,45
jonny-bairstow,JONNY BAIRSTOW,WICKET KEEPER,10000000,POT 06 · CAPPED WICKET KEEPERS,ENGLAND,MUMBAI INDIANS,WICKET KEEPER BATTER,52,1674,34.88,,,0,,,
henrich-klassen,HEINRICH KLAASEN,WICKET KEEPER,20000000,POT 06 · CAPPED WICKET KEEPERS,SOUTH AFRICA,SUNRISERS HYDERABAD,WICKET KEEPER BATTER,64,2104,42.08,,,0,,,
nicholas-pooran,NICHOLAS POORAN,WICKET KEEPER,20000000,POT 06 · CAPPED WICKET KEEPERS,WEST INDIES,LUCKNOW SUPER GIANTS,WICKET KEEPER BATTER,104,2527,31.59,,,0,,,
dhruv-jurel,DHRUV JUREL,WICKET KEEPER,20000000,POT 06 · CAPPED WICKET KEEPERS,INDIA,RAJASTHAN ROYALS,WICKET KEEPER BATTER,57,1195,31.45,,,0,,,
jitesh-sharma,JITESH SHARMA,WICKET KEEPER,15000000,POT 06 · CAPPED WICKET KEEPERS,INDIA,ROYAL CHALLENGERS BENGALURU,WICKET KEEPER BATTER,71,1107,23.06,,,0,,,
phil-salt,PHIL SALT,WICKET KEEPER,15000000,POT 06 · CAPPED WICKET KEEPERS,ENGLAND,ROYAL CHALLENGERS BENGALURU,WICKET KEEPER BATTER,40,1258,34.00,,,0,,,
glenn-phillips,GLENN PHILIPPS,WICKET KEEPER,10000000,POT 06 · CAPPED WICKET KEEPERS,NEW ZEALAND,GUJARAT TITANS,WICKET KEEPER BATTER,14,132,12,,,2,8.00,1,10
prithvi-shaw,PRITHVI SHAW,BATTER,10000000,POT 07 · CAPPED BATSMAN 2,INDIA,DELHI CAPITALS,RIGHT HAND BATSMAN,79,1892,23.95,99,,,,,
manish-pandey,MANISH PANDEY,BATTER,10000000,POT 07 · CAPPED BATSMAN 2,INDIA,KOLKATA KNIGHT RIDERS,RIGHT HAND BATSMAN,180,4012,29.50,114,,,,,
ajinkya-rahane,AJINKYA RAHANE,BATTER,20000000,POT 07 · CAPPED BATSMAN 2,INDIA,KOLKATA KNIGHT RIDERS,RIGHT HAND BATSMAN,212,5364,30.15,105,,,,,
sai-sudarshan,SAI SUDHARSHAN,BATTER,15000000,POT 07 · CAPPED BATSMAN 2,INDIA,GUJARAT TITANS,LEFT HAND BATSMAN,57,2515,48.37,108,,,,,
rajat-patidar,RAJAT PATIDHAR,BATTER,20000000,POT 07 · CAPPED BATSMAN 2,INDIA,ROYAL CHALLENGERS BENGALURU,RIGHT HAND BATSMAN,57,1612,33.58,112,,,,,
shimron-hetmyer,SHIMRON HETMEYER,BATTER,15000000,POT 07 · CAPPED BATSMAN 2,WEST INDIES,RAJASTHAN ROYALS,LEFT HAND BATSMAN,94,1567,27.39,75,,,,,
marcus-stoinis,MARCUS STOINIS,ALL ROUNDER,15000000,POT 07 · CAPPED BATSMAN 2,AUSTRALIA,PUNJAB KINGS,ALL ROUNDER,122,2242,28.74,,,46,9.93,4,15
dewald-brewis,DEWALD BREVIS,BATTER,15000000,POT 07 · CAPPED BATSMAN 2,SOUTH AFRICA,CHENNAI SUPER KINGS,RIGHT HAND BATSMAN,27,606,25.25,57,,,,,
shivam-dube,SHIVAM DUBE,ALL ROUNDER,20000000,POT 08 · CAPPED ALL ROUNDER - 2,INDIA,CHENNAI SUPER KINGS,ALL ROUNDER,92,2129,31.31,,,6,10.79,2,15
washington-sundar,WASHINGTON SUNDAR,ALL ROUNDER,15000000,POT 08 · CAPPED ALL ROUNDER - 2,INDIA,GUJARAT TITANS,ALL ROUNDER,83,888,21.14,,,40,7.77,3,16
krunal-pandya,KRUNAL PANDYA,ALL ROUNDER,20000000,POT 08 · CAPPED ALL ROUNDER - 2,INDIA,ROYAL CHALLENGERS BENGALURU,ALL ROUNDER,158,1982,22.78,,,107,7.58,4,45
will-jacks,WILL JACKS,ALL ROUNDER,20000000,POT 08 · CAPPED ALL ROUNDER - 2,ENGLAND,MUMBAI INDIANS,ALL ROUNDER,28,602,27.36,,,10,9.86,2,14
mitchell-santner,MITCHELL SANTNER,ALL ROUNDER,15000000,POT 08 · CAPPED ALL ROUNDER - 2,NEW ZEALAND,MUMBAI INDIANS,ALL ROUNDER,34,136,17,,,29,7.38,3,11
kyle-mayers,KYLE MAYERS,ALL ROUNDER,10000000,POT 08 · CAPPED ALL ROUNDER - 2,WEST INDIES,LUCKNOW SUPER GIANTS,ALL ROUNDER,13,379,29.15,,,,8.43,0,4
romario-shepherd,ROMARIO SHEPHERD,ALL ROUNDER,10000000,POT 08 · CAPPED ALL ROUNDER - 2,WEST INDIES,ROYAL CHALLENGERS BENGALURU,ALL ROUNDER,33,268,24.36,,,17,11.77,3,54
nitish-kumar-reddy,NITISH KUMAR REDDY,ALL ROUNDER,20000000,POT 08 · CAPPED ALL ROUNDER - 2,INDIA,SUNRISERS HYDERABAD,ALL ROUNDER,42,787,29.15,76,,,,,
dasun-shanaka,DASUN SHANAKA,ALL ROUNDER,10000000,POT 08 · CAPPED ALL ROUNDER - 2,SRI LANKA,RAJASTHAN ROYALS,ALL ROUNDER,10,89,12.71,,,,,,
wanindu-hasaranga,WANINDU HASARANGA,BOWLER,10000000,POT 09 · CAPPED BOWLERS - 2,SRI LANKA,LUCKNOW SUPER GIANTS,RIGHT ARM LEG SPINNERS,37,81,5.40,,,46,8.41,5,18
